id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23202737,Rental unit in Cambridge · ★4.90 · 1 bedroom · 1 bed · 1.5 shared baths,151298426,Vanessa,,Mid-Cambridge,42.37163,-71.10575,Private room,125,1,40,2023-10-13,0.56,4,48,3,C2039820288
23257882,Rental unit in Cambridge · ★4.23 · 2 bedrooms · 2 beds · 1 bath,87618246,Richard,,West Cambridge,42.37538,-71.12956,Entire home/apt,123,1,249,2023-12-03,3.55,2,204,40,STR-18602
23523253,Rental unit in Cambridge · ★4.92 · 1 bedroom · 1 bed · 1.5 shared baths,171618898,Mark,,Cambridgeport,42.35803,-71.11319,Private room,79,1,356,2023-12-14,5.07,4,330,69,STR-14646
23563670,Rental unit in Cambridge · ★4.89 · 1 bedroom · 1 bed · 1 private bath,171618898,Mark,,Cambridgeport,42.35946,-71.11082,Private room,91,1,320,2023-12-14,4.52,4,305,65,STR-14646
23594538,Rental unit in Cambridge · ★4.97 · 1 bedroom · 1 bed · 1 bath,176415954,Nancy And Steve,,North Cambridge,42.39571,-71.13064,Entire home/apt,178,3,270,2023-12-22,3.86,1,82,37,STR-49184
23730467,Rental unit in Cambridge · ★4.94 · 1 bedroom · 1 bed · 1 bath,177906351,Siyu,,The Port,42.36738,-71.10082,Entire home/apt,201,1,172,2023-11-19,2.46,1,0,34,STR-133641
24011176,Rental unit in Cambridge · ★4.88 · 1 bedroom · 1 bed · 1 bath,166253811,Patrick,,Wellington-Harrington,42.37252,-71.09046,Entire home/apt,125,1,225,2023-11-22,3.43,2,102,68,C0206780491
24298372,Rental unit in Cambridge · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,171618898,Mark,,Cambridgeport,42.35962,-71.11151,Private room,91,1,206,2023-11-12,3.00,4,0,40,STR-14646
24304200,Home in Cambridge · ★4.95 · 1 bedroom · 2 beds · 1 shared bath,519702802,Antonio,,North Cambridge,42.39311,-71.12854,Private room,90,1,361,2023-12-03,5.21,2,164,90,
24442402,Bed and breakfast in Cambridge · ★4.98 · 1 bedroom · 1 bed · 1 private bath,181267574,Candace,,West Cambridge,42.38208,-71.13386,Private room,164,3,161,2023-10-23,2.35,1,159,25,STR-14917
24586887,Rental unit in Cambridge · ★4.89 · 2 bedrooms · 3 beds · 1 bath,185802542,Cynthia,,West Cambridge,42.3828,-71.14176,Entire home/apt,300,2,123,2023-11-04,1.87,1,88,26,STR-18429
24751989,Rental unit in Somerville · ★4.96 · 1 bedroom · 1 bed · 1 bath,22604641,Emanuel,,Wellington-Harrington,42.37417,-71.09767,Entire home/apt,163,4,262,2023-11-19,3.81,1,243,37,
24886707,Rental unit in Cambridge · ★4.29 · 1 bedroom · 2 beds · 1 shared bath,15154687,Taskin,,Wellington-Harrington,42.37346,-71.09048,Private room,65,1,158,2023-12-17,2.31,18,326,33,
24887170,Cottage in Cambridge · ★5.0 · 1 bedroom · 1 bed · 2 baths,70969915,Carla & Steve,,North Cambridge,42.39557,-71.13078,Private room,114,4,7,2022-09-03,0.10,2,0,0,STR-13330
24888768,Rental unit in Cambridge · ★4.75 · 1 bedroom · 2 beds · 1 bath,98988662,Jake,,Cambridgeport,42.35792,-71.10938,Entire home/apt,150,1,260,2023-08-13,3.80,1,0,25,
24888817,Rental unit in Cambridge · ★4.29 · 1 bedroom · 2 beds · 1 shared bath,15154687,Taskin,,Wellington-Harrington,42.37191,-71.09019,Private room,65,1,187,2023-12-17,2.73,18,356,64,
24967119,Rental unit in Cambridge · ★4.98 · 1 bedroom · 2 beds · 1 bath,158575537,Dan,,The Port,42.36599,-71.09882,Entire home/apt,179,2,121,2023-11-27,1.80,1,0,36,STR-120654
25036068,Rental unit in Cambridge · ★4.95 · Studio · 2 beds · 1 bath,184906834,Janice,,Riverside,42.3686,-71.11414,Entire home/apt,148,3,220,2023-11-25,3.22,2,89,48,STR-17465
25687175,Rental unit in Cambridge · ★5.0 · 2 bedrooms · 3 beds · 1 bath,45224133,Clare,,Agassiz,42.37925,-71.11994,Entire home/apt,144,91,4,2019-11-03,0.06,4,90,0,
25691658,Rental unit in Cambridge · 2 bedrooms · 2 beds · 1 bath,45224133,Clare,,Neighborhood Nine,42.37904,-71.12007,Entire home/apt,264,91,0,,,4,90,0,
25728312,Rental unit in Cambridge · ★4.25 · 1 bedroom · 2 beds · 1 shared bath,9928124,Zayetta,,Mid-Cambridge,42.37675,-71.10975,Private room,69,91,12,2023-07-31,0.18,2,365,1,
25778262,Guest suite in Cambridge · ★4.99 · 2 bedrooms · 2 beds · 1.5 baths,28283338,Rae,,Agassiz,42.38304,-71.11735,Entire home/apt,,2,99,2023-02-19,1.49,3,0,2,C0138770491
25943134,Home in Cambridge · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,3096821,Carolyn,,The Port,42.36333,-71.10008,Private room,,2,31,2023-05-13,0.47,2,0,1,STR-214594
26136927,Rental unit in Cambridge · ★4.85 · 2 bedrooms · 3 beds · 1 bath,9365589,J G,,Neighborhood Nine,42.38831,-71.12746,Entire home/apt,171,2,251,2023-12-09,3.83,2,0,49,
26429034,Rental unit in Cambridge · ★4.34 · 1 bedroom · 2 beds · 1 shared bath,15154687,Taskin,,Wellington-Harrington,42.37195,-71.09204,Private room,65,1,179,2023-12-15,2.69,18,348,39,
26502979,Rental unit in Cambridge · ★4.24 · 1 bedroom · 1 bed · 1 shared bath,15154687,Taskin,,Wellington-Harrington,42.37184,-71.09151,Private room,65,1,78,2023-12-14,1.25,18,359,49,
26569375,Guest suite in Cambridge · ★4.90 · 1 bedroom · 2 beds · 2 baths,119120101,Derrick,,North Cambridge,42.39044,-71.12393,Entire home/apt,130,3,69,2023-12-12,1.05,1,89,19,STR-133664
26688986,Rental unit in Cambridge · ★4.91 · 2 bedrooms · 2 beds · 1 bath,200654508,Arielle,,North Cambridge,42.3911,-71.12427,Entire home/apt,100,2,23,2021-07-28,0.35,1,0,0,70657
26703374,Rental unit in Cambridge · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,71156317,Eddy,,Strawberry Hill,42.37511,-71.15229,Private room,87,3,54,2023-11-19,0.82,1,163,19,STR-16228
26978504,Condo in Somerville · 1 bedroom · 1 bed · 1 shared bath,15692612,Michaela,,North Cambridge,42.39319,-71.12488,Private room,,4,0,,,1,0,0,
27083472,Rental unit in Cambridge · 1 bedroom · 2 beds · 1 shared bath,6839881,Lisan,,The Port,42.36745,-71.10105,Private room,76,200,1,2018-09-02,0.02,2,0,0,
27471081,Home in Cambridge · 1 bedroom · 1 bed · 2.5 shared baths,34194680,Tina,,Neighborhood Nine,42.3872,-71.14139,Private room,80,91,0,,,1,364,0,
27609882,Rental unit in Cambridge · ★4.83 · 1 bedroom · 1 bed · 2 shared baths,82946167,Yuan,,West Cambridge,42.3738,-71.12321,Private room,,90,6,2023-05-29,0.15,11,0,3,
27897602,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 private bath,51079261,Riverside,,Mid-Cambridge,42.36946,-71.10798,Private room,,1,1,2018-08-22,0.02,23,0,0,10863
27898877,Rental unit in Cambridge · ★4.86 · 1 bedroom · 2 beds · 1 private bath,51079261,Riverside,,Riverside,42.3673,-71.10688,Private room,,1,7,2018-10-20,0.11,23,0,0,10863
28178013,Rental unit in Cambridge · 2 bedrooms · 3 beds · 1 bath,36085037,LIsa,,North Cambridge,42.39055,-71.12674,Entire home/apt,175,91,0,,,1,0,0,
28195363,Home in Cambridge · 1 bedroom · 2 beds · 2 shared baths,6839881,Lisan,,Neighborhood Nine,42.38846,-71.12551,Private room,77,200,0,,,2,0,0,
28282525,Rental unit in Cambridge · 1 bedroom · 2 beds · 1 bath,55152664,Sophie,,Neighborhood Nine,42.38335,-71.13245,Entire home/apt,170,91,0,,,4,144,0,
28463949,Rental unit in Cambridge · 2 bedrooms · 2 beds · 1 bath,55152664,Sophie,,West Cambridge,42.3809,-71.13308,Entire home/apt,,91,0,,,4,0,0,
28466694,Rental unit in Cambridge · ★4.43 · 1 bedroom · 1 bed · 1 shared bath,209566405,Michelle,,West Cambridge,42.37392,-71.12475,Private room,89,85,14,2023-06-01,0.23,1,0,1,
28489121,Rental unit in Cambridge · ★4.86 · Studio · 2 beds · 1 bath,184906834,Janice,,Riverside,42.3686,-71.11414,Entire home/apt,146,3,266,2023-12-03,4.13,2,0,57,STR-29320
28667379,Condo in Cambridge · 1 bedroom · 1 bed · 1 shared bath,7421025,Doriana,,Riverside,42.36857,-71.11022,Private room,90,365,0,,,3,358,0,
28801153,Home in Cambridge · ★4.80 · 1 bedroom · 2 beds · 1 private bath,51079261,Riverside,,Riverside,42.36796,-71.10858,Private room,,1,10,2022-04-30,0.16,23,0,0,10863
28832386,Rental unit in Cambridge · 2 bedrooms · 1 bed · 1 bath,55152664,Sophie,,West Cambridge,42.3817,-71.13248,Entire home/apt,190,91,0,,,4,237,0,
28833374,Townhouse in Cambridge · 1 bedroom · 4 beds · 2.5 baths,55152664,Sophie,,West Cambridge,42.38084,-71.13392,Entire home/apt,,91,0,,,4,0,0,
28952923,Rental unit in Cambridge · ★4.84 · 3 bedrooms · 1 bed · 1 shared bath,218237995,Jason,,The Port,42.36478,-71.09716,Private room,44,1,435,2023-12-17,6.92,2,7,70,STR-28660
28988139,Rental unit in Cambridge · ★4.62 · 1 bedroom · 1 bed · 1 shared bath,218493228,John,,Wellington-Harrington,42.37165,-71.09826,Private room,55,30,92,2023-11-25,1.51,3,348,14,
28989060,Rental unit in Cambridge · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,218493228,John,,Wellington-Harrington,42.36935,-71.09481,Private room,70,30,61,2023-09-25,0.99,3,340,20,
29034417,Rental unit in Cambridge · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,218237995,Jason,,The Port,42.36448,-71.0978,Private room,52,1,435,2023-12-14,6.84,2,0,74,STR-28660
29308635,Home in Cambridge · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,887148,Dawn,,West Cambridge,42.37589,-71.12674,Private room,275,91,6,2019-10-26,0.10,1,365,0,
29343335,Home in Cambridge · ★4.54 · 1 bedroom · 1 bed · 1 shared bath,201911026,George,,The Port,42.3685,-71.09651,Private room,,1,231,2023-12-12,3.67,7,0,61,
